Produk,Nama,Waktu,Review,Rating
"Faith Industries ""Hopper Clubs"" Tie Dye Tshirt",Adna,1 hari lalu,Keren Tie Dye nya…!!,bintang 5
"Faith Industries Tshirt ""Guardian of The Elements""",Ade,1 hari lalu,Ukurannya pas,bintang 5
FTH x EVOS Pro Kit 2023 Utility Pants,F***l,2 hari lalu,"Ga lolos qc dikit ga ngaruh :D.
Akhirnya gue cutting aja overall tetep cakeppp.",bintang 5
FTH x EVOS Pullover Tactical Hoodie,F***l,2 hari lalu,"Cakep abis. Buat fams sejak lahir ini wajib punya 🫵.
Roarrrrr",bintang 5
"Faith Industries ""Mini-Feng"" Tie Dye Tshirt",W***i,2 hari lalu,kualitasnya bagus dan tidak mengecewakan,bintang 5
"Faith Industries Pullover Hoodie ""Gekkoukan""",D***a,2 hari lalu,mantab kieu euy...,bintang 5
"Faith Industries ""MF-Ghost"" Tshirt",Azi,4 hari lalu,Ukurannya pas,bintang 5
"Sample Sale ""Feng - Guardian of The East "" Work Jacket",m***d,4 hari lalu,Ukurannya terlalu kecil Tinggi badan 160 - 170 cm,bintang 5
Sample Sale Varsity EVA Unit-01 Purple,Putu,4 hari lalu,🫰🏻puass banget makasih min,bintang 5
"Faith Industries ""Vagabond"" Black",W***n,5 hari lalu,Ukurannya pas,bintang 5
Chainsawman Fox Devil Tshirt,muhammad,1 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""MF-Ghost"" Tshirt",Rifaldi,1 minggu lalu,mantapp,bintang 5
"Faith Industries ""Thanatos"" Varsity Jacket",M***d,1 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""Hopper Clubs"" White Tshirt",S***n,1 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""Members of Hopper Clubs"" Light Blue Tshirt",F***a,1 minggu lalu,Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5
"Faith Industries ""Hopper Clubs"" White Tshirt",F***a,1 minggu lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71-80 kg,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",Diandra,1 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""Makoto Yuki"" White Tshirt",totok,1 minggu lalu,brg sdh smpe sesuai pesanan,bintang 5
"Faith Industries ""Thanatos"" Varsity Jacket",Perakas,1 minggu lalu,"Ukurannya pas,packaging box nya juga rapih dan parsity nya sangat² bagus",bintang 5
"Faith Industries ""Thanatos"" Varsity Jacket",M***d,1 minggu lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5
Faith Industries Mystery Box,A***l,2 minggu lalu,Tinggi badan 171 - 180 cm Ukurannya pas,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",R***y,2 minggu lalu,"keren bajunya, ukuran pas. 👍",bintang 5
"Faith Industries ""Berserk"" Black Tshirt",p***g,2 minggu lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",R***l,2 minggu lalu,"sempet salah kirim,tapi adminnya sabar banget 
bantuin pengembaliannya
the best lah pokoknya Ukurannya pas Tinggi badan > 180 cm",bintang 5
Faith Industries Mystery Box,Ahmad,2 minggu lalu,gokil wangi bgt bang gacha nya,bintang 5
"Faith Industries ""Makoto Yuki"" White Tshirt",A***h,2 minggu lalu,1st produk fth pertama yg gw beli 😁🙏 Ukurannya pas,bintang 5
"FTH x Tenjin Scrollworks ""Guardian of The West"" Collar shirt",M,2 minggu lalu,Ukurannya terlalu kecil,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",Bianca,2 minggu lalu,walau rada problem pengirimannya tapi bajunya keren mantep,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",d***n,2 minggu lalu,"mantap minfaith bener2 buat konsumen nga perna kecewa, dari awal lngsng di kasi tau kalo ada kesalahan dari mereka dan cepet banget di selesain masalahnya ,respect.",bintang 5
"FTH Racing Series ""Guardian Racing Team"" Work Shirt",F***r,2 minggu lalu,"Kualitas bahan yang sangat top, dan ukuran pas di badan. Cocok ga bikin gerah",bintang 5
Faith Industries Mystery Box,I***i,2 minggu lalu,"Ukurannya pas, Tinggi badan 160 - 170 cm, Berat badan < 60 kg",bintang 5
Faith Industries Mystery Box,Rafi,2 minggu lalu,Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5
Faith Industries Mystery Box,M***d,2 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Rizky,2 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Bagus,2 minggu lalu,"walaupun ada miscom saat pengiriman tapi tetep tanggung jawab, mantap betul",bintang 5
Faith Industries Mystery Box,Y***a,2 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,OsaUrzbaies,2 minggu lalu,mystery box gaada obat!!,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",Muhammad,3 minggu lalu,Akhirnya yang ditunggu.. Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5
Faith Industries Mystery Box,Shadiq,3 minggu lalu,gacorr..🔥🔥🔥,bintang 5
"Faith Industries Tshirt ""Guardian of The Elements""",M***a,3 minggu lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",Andhika,3 minggu lalu,walaupun ada komplain soal salah kirim tapi gw seneng sama responnya yg cepet dan gak ribet,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",Bintang,3 minggu lalu,Dengan berbagai segala cara dan waktu akhirnya bisa sampai juga barang yang sesuai. ini juga sebagai hal pengalaman yang baru dalam bertransaksi bagi saya. Terimakasih Ad... ,bintang 5
Faith Industries Mystery Box,I***I,3 minggu lalu,"Ukurannya pas, keren",bintang 5
Faith Industries Mystery Box,chelfy,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Abdul,3 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",shelly,3 minggu lalu,"Ukurannya pas

respon penjual ramah",bintang 5
"Faith Industries ""Makoto Yuki"" White Tshirt",zaky,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Farid,3 minggu lalu,"Dapet Varsity(atau parasut ya gatau, bahannya kaya evos x fth), baju bnha sama totebag. Cuma sayangnya bukan bahan kain ya outernya, gpp sih soalnya barangnya ada, sesuai... ",bintang 5
"Faith Industries ""Berserk"" Black Tshirt",h***o,3 minggu lalu,Ukurannya pas,bintang 5
"Faith Industries ""Vagabond"" White",G***g,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Nugraha,3 minggu lalu,"Ukurannya pas Tinggi badan 160 - 170 cm, bagus deh ga rugi apalagi dapet topi",bintang 5
"Faith Industries ""Berserk"" Black Tshirt",I***n,3 minggu lalu,meskipun ada salah kirim cuma min faith berkomunikasi dengan baik via chat toped dan barang cepet banget sampe setelah di retur thanks yaa min faith,bintang 5
Faith Industries Mystery Box,ammasari,3 minggu lalu,Ukurannya pas. bagus bet bahannya. gtw rarity nya tapi puas 300k dpt 3 kaos,bintang 5
Faith Industries Mystery Box,R***y,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Irsyad,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,melvin,3 minggu lalu,"Ukurannya pas Tinggi badan > 180 cm
jackpot inimah kacau",bintang 5
Faith Industries Mystery Box,Tama,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,aditya,3 minggu lalu,mayan hoki lahhh,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",H***i,3 minggu lalu,Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5
Faith Industries Mystery Box,Akna,3 minggu lalu,Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5
"Faith Industries Tshirt ""Guardian of The Elements""",P***s,3 minggu lalu,kualitas selalu top markotop no kecot Ukurannya pas,bintang 5
"Faith Industries Tshirt ""Guardian of The Elements""",dimas,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,l***u,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,Cahya,3 minggu lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg,bintang 5
Faith Industries Mystery Box,Iam,3 minggu lalu,"modelnya keren,ukuran pas ,kain halus",bintang 5
Faith Industries Mystery Box,Ahmad,3 minggu lalu,KEREN GAPERNAH KECEWA SAMA FAITH,bintang 5
Faith Industries Mystery Box,Egy,3 minggu lalu,Lumayan hoki gachanya cmn sayang yang bajunya udh punya tpi outernya baguss parahh,bintang 5
Faith Industries Mystery Box,Afin,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,A***l,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,abdurahman,3 minggu lalu,ukurannya pas Tinggi badan 171 - 180 cm,bintang 5
Faith Industries Mystery Box,Deny,3 minggu lalu,Ukurannya pas,bintang 5
Faith Industries Mystery Box,I***n,3 minggu lalu,"bagus banget coy, lumayan juga dapet sketchbook isinya udah ada gambarnya 😁😁",bintang 5
Faith Industries Mystery Box,James,3 minggu lalu,wangi gachanya dapet feng,bintang 5
Faith Industries Mystery Box,Aditya,3 minggu lalu,mantap,bintang 5
Faith Industries Mystery Box,Andra,3 minggu lalu,"Geloo cepet bngt nyampe nya min mantap, dpet yg bagus"" lagi bajunya nice👍 Ukurannya pas",bintang 5
Faith Industries Mystery Box,Z***n,3 minggu lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5
Faith Industries Mystery Box,Fauzi,3 minggu lalu,"Bagus, dapet topi gratis ama long sleeve, tapi article nya kurang banget",bintang 5
Faith Industries Mystery Box,Zaldi,3 minggu lalu,gacor cuy dapet topi Ama feng,bintang 5
"Faith Industries ""Berserk"" Black Tshirt",F***r,3 minggu lalu,everyone has faith~,bintang 5
Faith Industries Mystery Box,S***s,3 minggu lalu,"Ukuran sesuai, bahan juga adem. Tapi sayangnya dari 3 item dapet 2 item dari artikel yang sama cuma beda warna.",bintang 4
Faith Industries Mystery Box,Fajar,3 minggu lalu,Keren min. Gacha 600rb ku tidak sia-sia,bintang 5
