Produk,Nama,Waktu,Review,Rating
Kaos polo polos / Kaos kerah / Kaos wangki,K***i,1 hari lalu,Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5
Kaos pria o neck need coffe,Veronica,1 hari lalu,"Sesuai foto, cuma tipis aja.. kl difoto kliatan bahannya tebal.. tp ya sesuai harga lah..",bintang 5
Croptop Wanita girl - Lengan Pendek Cotton Combed 30s,FVou,2 hari lalu,155/48. I love it!,bintang 5
Kaos Polos Wanita Cotton Combed 30s,A***i,2 hari lalu,Ukurannya pas Tinggi badan 161 - 170 cm Berat badan < 50 kg,bintang 5
Kaos Polos Wanita Cotton Combed 30s,nia,2 hari lalu,Ukurannya pas,bintang 5
Kaos Polos Wanita Cotton Combed 30s,K***O,6 hari lalu,Kaosnya lembuttt Bahanya,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,rudi,1 minggu lalu,bahan lumayan bagus,bintang 5
Kaos pria O-neck nadi,cahyanto,1 minggu lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,shams,1 minggu lalu,"Ukurannya terlalu kecil, baiknya yg biasa pake XL naikkan jadi XXL, bahan bagus sesuai harga, pengiriman cepat",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Arya,1 minggu lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***a,1 minggu lalu,Ukurannya terlalu kecil banget banget,bintang 1
Kaos Polos Wanita Cotton Combed 30s,Maria,1 minggu lalu,Bahannya ok. Pas di badan,bintang 5
Kaos Polos Wanita Cotton Combed 30s,Fanny,2 minggu lalu,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,bintang 5
Kaos Zodiak Wanita Aries - Cotton Combed 30s,Fanny,2 minggu lalu,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Bagus,2 minggu lalu,"Sangat sepadan dengan harga segitu, kain bagus, belum dicoba tapi semoga nyaman",bintang 5
