Produk,Nama,Waktu,Review,Rating
Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5500H 8 512 RTX 2050 4GB W11OHS,k***f,Hari ini,design mewah dan terasa ringan👍,bintang 5
Lenovo IdeaCentre 5 14IRB8 Core i5-13400 8GB 512GB W11 OHS,A***i,1 hari lalu,"Jelas, responsif, cepat deliverynya",bintang 5
"Monitor LED LENOVO L24i-40 24"" IPS 1080p 100Hz VGA HDMI Speaker ,VESA",M***M,1 hari lalu,"Mantap dan sesuai kebutuhan. Semoga awet agr tak perlu pakai garansi. Tks, sukses sll",bintang 5
Lenovo IdeaPad Pro 5 14IRH8 Core i7-13700H 16GB 1TB RTX 3050 6GB,Putri,1 hari lalu,Spesifikasi dan fitur sangat baik,bintang 5
Lenovo IdeaPad Slim 3i 14IAU7 Core i3-1215U 8GB 512GB W11 OHS,Muhamad,1 hari lalu,"Sangat sesuai deskripsi, semoga awet 🌟🌟 🌟 🌟 🌟",bintang 5
Lenovo IdeaPad Slim 3 14ABR8 Ryzen 5 7530U 8GB 512GB W11 OHS,Aulia,1 hari lalu,"dikasih bonus tas & mouse 👌🏻
terima kasih",bintang 5
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",Gilang,1 hari lalu,Gilaaa dari semua part ini yang paling saya suka gatau kenapa ngerasa ga nyesel beli ini dan bersyukur banget ketemu monitor ini,bintang 5
Lenovo V14 G3 IAP Core i3-1215U 8GB 256 W11+OHS,Faizal,2 hari lalu,ok,bintang 5
"Lenovo Monitor L22e-40 21.5"" VA 75 Hz",Aliot,2 hari lalu,"CAKEP BANGET 👍👍
Seller fast respon and helpfull banget.
Deliverynya juga cepet banget..👍👍
Bakal RO disini. 🫰",bintang 5
Lenovo V14 G4 AMN Athlon Silver 7120U 8GB 256GB W11 OHS,N***o,2 hari lalu,Layar tipis Tampilannya keren 👍 Desainnya simpel Warnanya kece Packaging aman 🙏,bintang 4
Lenovo IdeaCentre AIO 3 24IAP7 Core i7-13620H 8GB 512GB MX550 W11 OHS,T***y,3 hari lalu,"pengiriman cepat, barang bagus",bintang 5
Lenovo IdeaPad Slim 3i 14IAU7 Core i3-1215U 8GB 512GB W11 OHS,Slamet,3 hari lalu,"Admin Seller responsif, proses dan pengiriman cepat, Laptop dan Bonus diterima lengkap dan berfungsi dengan baik.. semoga awet",bintang 5
