Produk,Nama,Waktu,Review,Rating
Chainsawman Pochita Orange Tshirt,MUHAMMAD,2 hari lalu,Ukurannya pas, 5
Chainsawman Pochita Crewneck Black,Aziz,2 hari lalu,Tinggi badan 171 - 180 cm Ukurannya pas Berat badan > 80 kg, 5
"FTH x EVOS ""Tiger-Chan"" Tshirt",fauzi,2 hari lalu,Ok, 5
FTH x EVOS Pullover Tactical Hoodie,A***l,2 hari lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg, 5
Chainsawman Fox Devil Tshirt,P***a,3 hari lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg, 5
"FTH x EVOS x My Hero Academia ""Plus Ultra"" Varsity Coach Jacket",M***a,3 hari lalu,"Cakep banget, bahannya bagus. Warnanya cakep, bordirannya rapi banget. Ukurannya juga pas sekali. Thanks seller", 5
Chainsawman Pochita Orange Tshirt,C***a,3 hari lalu,mantapppp😎🙏🏻, 5
Faith Industries Phantom Thieves Custome Jersey ,P***r,3 hari lalu,👏🏿👏🏿👏🏿, 5
Chainsawman Pullover Hoodie Chainsaw White,Fazlimaheswara,3 hari lalu,Ukurannya pas Berat badan < 60 kg Tinggi badan 160 - 170 cm, 5
"Faith Industries Knitwear ""Totoro""",F***i,3 hari lalu,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg, 5
Evangelion Unit 01 Work Jacket,Himawan,3 hari lalu,"first time beli outer di fth, bahannya bagus & keren 👍🏻 next beli varsity/bomber jaket.", 5
Evangelion Nerv Tech Jacket,Bambang,4 hari lalu,Ukurannya pas, 5
Chainsawman Fox Devil Tshirt,A***a,5 hari lalu,suka sama modelnya. sebenarnya pengen lagi yang karakter lain tapi dah sold out bjir Ukurannya pas, 5
"FTH x Tenjin Scrollworks ""Keeper of The Jade"" Crewneck",dwi,5 hari lalu,Tinggi badan 160 - 170 cm Berat badan < 60 kg Ukurannya pas, 5
"Faith Industries Horde of The Foes ""Apocalypse"" Varsity Jacket",Muhammad,5 hari lalu,Tidak bisa berkata2 produk last item yang begitu🔥🔥🔥🔥🔥🔥, 5
FTH Mysteri Box Guardian Stash,Dhaffa,5 hari lalu,The best lah FTH, 5
"Faith Industries Tshirt ""DMC""",R***i,6 hari lalu,"ukuran pas, bahannya juga enak bgt, selalu keren faith 🫶🏻", 5
"FTH x EVOS ""Tiger-Chan"" Tshirt",Putra,6 hari lalu,"Cepet bgt, Sesuai Pesanan.", 5
Chainsawman Fox Devil Tshirt,Putra,6 hari lalu,Makasihhh., 5
